u,v,w
255,230,0.184909
256,257,0.070500
256,281,0.182358
256,255,0.029790
256,231,0.042912
257,258,0.212082
257,282,0.291414
257,256,0.070500
257,232,0.388241
258,259,0.446627
258,283,0.375623
258,257,0.212082
258,233,0.528515
259,260,0.102987
259,284,0.605395
259,258,0.446627
259,234,0.171805
260,261,0.421413
260,285,0.615766
260,259,0.102987
260,235,0.074886
261,262,0.231198
261,286,0.466754
261,260,0.421413
261,236,0.443054
262,263,0.173015
262,287,0.195592
262,261,0.231198
262,237,0.537839
263,264,0.115025
263,288,0.281054
263,262,0.173015
263,238,0.118232
264,265,0.116047
264,289,0.318336
264,263,0.115025
264,239,0.112713
265,266,0.112881
265,290,0.372476
265,264,0.116047
265,240,0.231236
266,267,0.157974
266,291,0.170201
266,265,0.112881
266,241,0.103115
267,268,0.181754
267,292,0.132286
267,266,0.157974
267,242,0.341442
268,269,0.090642
268,293,0.063910
268,267,0.181754
268,243,0.292725
269,270,0.171479
269,294,0.196936
269,268,0.090642
269,244,0.188285
270,271,0.070940
270,295,0.042753
270,269,0.171479
270,245,0.423611
271,272,0.375897
271,296,0.115047
271,270,0.070940
271,246,0.458511
272,273,0.392127
272,297,0.233192
272,271,0.375897
272,247,0.319883
273,274,0.065797
273,298,0.235833
273,272,0.392127
273,248,0.063221
274,299,0.024774
274,273,0.065797
274,249,0.212331
275,276,0.046020
275,300,0.187746
275,250,0.087472
276,277,0.019932
276,301,0.215706
276,275,0.046020
276,251,0.143527
277,278,0.121681
277,302,0.207044
277,276,0.019932
277,252,0.118102
278,279,0.052062
278,303,0.225717
278,277,0.121681
278,253,0.136183
279,280,0.145213
279,304,0.106440
279,278,0.052062
279,254,0.260746
280,281,0.353214
280,305,0.150864
280,279,0.145213
280,255,0.175070
281,282,0.064018
281,306,0.439335
281,280,0.353214
281,256,0.182358
282,283,0.122919
282,307,0.370755
282,281,0.064018
282,257,0.291414
283,284,0.220069
283,308,0.077450
283,282,0.122919
283,258,0.375623
284,285,0.094302
284,309,0.416978
284,283,0.220069
284,259,0.605395
285,286,0.276508
285,310,0.450205
285,284,0.094302
285,260,0.615766
286,287,0.042414
286,311,0.038530
286,285,0.276508
286,261,0.466754
287,288,0.084943
287,312,0.118853
287,286,0.042414
287,262,0.195592
288,289,0.072189
288,313,0.063046
288,287,0.084943
288,263,0.281054
289,290,0.151553
289,314,0.058939
289,288,0.072189
289,264,0.318336
290,291,0.227206
290,315,0.084038
290,289,0.151553
290,265,0.372476
291,292,0.124739
291,316,0.056087
291,290,0.227206
291,266,0.170201
292,293,0.107786
292,317,0.182089
292,291,0.124739
292,267,0.132286
293,294,0.093595
293,318,0.155751
293,292,0.107786
293,268,0.063910
294,295,0.056040
294,319,0.173197
294,293,0.093595
294,269,0.196936
295,296,0.093778
295,320,0.122334
295,294,0.056040
295,270,0.042753
296,297,0.106510
296,321,0.191037
296,295,0.093778
296,271,0.115047
297,298,0.381689
297,322,0.181247
297,296,0.106510
297,272,0.233192
298,299,0.278281
298,323,0.037159
298,297,0.381689
298,273,0.235833
299,324,0.016310
299,298,0.278281
299,274,0.024774
300,301,0.021683
300,325,0.133353
300,275,0.187746
301,302,0.028929
301,326,0.218656
301,300,0.021683
301,276,0.215706
302,303,0.104406
302,327,0.318705
302,301,0.028929
302,277,0.207044
303,304,0.160100
303,328,0.289596
303,302,0.104406
303,278,0.225717
304,305,0.082516
304,329,0.269602
304,303,0.160100
304,279,0.106440
305,306,0.058905
305,330,0.217142
305,304,0.082516
305,280,0.150864
306,307,0.129372
306,331,0.141452
306,305,0.058905
306,281,0.439335
307,308,0.195755
307,332,0.117300
307,306,0.129372
307,282,0.370755
308,309,0.252817
308,333,0.321755
308,307,0.195755
308,283,0.077450
309,310,0.061455
309,334,0.260419
309,308,0.252817
309,284,0.416978
310,311,0.165529
310,335,0.257404
310,309,0.061455
310,285,0.450205
311,312,0.156699
311,336,0.548485
311,310,0.165529
311,286,0.038530
312,313,0.008146
312,337,0.484649
312,311,0.156699
312,287,0.118853
313,314,0.039862
313,338,0.430971
313,312,0.008146
313,288,0.063046
314,315,0.051529
314,339,0.288900
314,313,0.039862
314,289,0.058939
315,316,0.162370
315,340,0.177483
315,314,0.051529
315,290,0.084038
316,317,0.071596
316,341,0.110017
316,315,0.162370
316,291,0.056087
317,318,0.117208
317,342,0.126618
317,316,0.071596
317,292,0.182089
318,319,0.071842
318,343,0.146712
318,317,0.117208
318,293,0.155751
319,320,0.098250
319,344,0.086784
319,318,0.071842
319,294,0.173197
320,321,0.132760
320,345,0.033233
320,319,0.098250
320,295,0.122334
321,322,0.094645
321,346,0.062501
321,320,0.132760
321,296,0.191037
322,323,0.236788
322,347,0.029740
322,321,0.094645
322,297,0.181247
323,324,0.230207
323,348,0.154730
323,322,0.236788
323,298,0.037159
324,349,0.073316
324,323,0.230207
324,299,0.016310
325,326,0.072487
325,350,0.096088
325,300,0.133353
326,327,0.074017
326,351,0.131291
326,325,0.072487
326,301,0.218656
327,328,0.134015
327,352,0.037403
327,326,0.074017
327,302,0.318705
328,329,0.178644
328,353,0.056749
328,327,0.134015
328,303,0.289596
329,330,0.129054
329,354,0.120267
329,328,0.178644
329,304,0.269602
330,331,0.027223
330,355,0.133953
330,329,0.129054
330,305,0.217142
331,332,0.126986
331,356,0.124681
331,330,0.027223
331,306,0.141452
332,333,0.108751
332,357,0.155279
332,331,0.126986
332,307,0.117300
333,334,0.315935
333,358,0.179191
333,332,0.108751
333,308,0.321755
334,335,0.066082
334,359,0.593061
334,333,0.315935
334,309,0.260419
335,336,0.456836
335,360,0.616701
335,334,0.066082
335,310,0.257404
